Rate Plan	Pws cost	New Cost
PrimoWind_VZW_1GB	7	2.67
Deep Forest Security Consulting :: VZWPublic :: (708) :: 1 GB	7	2.67
Afero	7	2.67
Ample Demo AT&T 1GB	8	
Palletech VZW Demo 1GB :: 6142848b-afa3-4539-9e4f-4e53a0b31aef	7	2.67
Microspace ATT 10GB	50	
Microspace TMO	50	
Viabot VZW Demo 1GB :: fbf9da36-11f1-41f3-a6ff-586d811730d7	7	2.67
Veloxity VZW Demo 1GB :: 93592493-2ec2-4dc0-84ad-77bb3379fc76	7	2.67
Blackline VZW Demo :: c3200e09-ab86-4a2b-83f3-56eb20da5cc6	7	2.67
Naak VZW 1GB Demo :: 6af5f523-9b9d-43e0-935b-b1184855c8f6	7	2.67
Acton Controls VZW Demo :: 412959d4-c8fa-43ab-b993-6a20b3731c33	7	2.67
Acton Controls Inc. :: VZWPublic :: (725) :: 1 GB	7	2.67
Dusty Robotics :: 3e124e43-8eef-4388-981a-87856e3c4dc8	7	2.67
Dusty Robotics-VZW-DIA-1GB	7	2.67
Marble VZW Demo :: 996f7774-8da5-4031-b6fb-b5cdfde9bf98	7	2.67
Terso VF Demo WC1	0	
Marble :: VZWPublic :: (729) :: 1 GB	7	2.67
POS360 ATT Demo	8	
REA VZW Demo :: 5945538e-cdc8-4604-8273-538bc25ba8b0	7	2.67
VisCom TMO DIA 1GB Demo	7	
MEMOMI VZW DEMO :: 40db8a56-63a2-45fb-96f2-d6e2894a3d42	7	2.67
Memomi VZW 1GB	7	2.67
Shapery Demo VZW 1GB	7	2.67
Swiftmile-VZW-PUBD-1GB :: 344fa2e6-70d8-48b3-857b-33b209affa85	7	2.67
Swiftmile VZW Demo :: 0cc3f3a1-58e6-42a3-8514-28fce4a3e40a	7	2.67
PickTrace Verizon PublicDynamic Demo 11.14.19	7	2.67
Monterey Mechanical VZW 1GB Demo :: 8c2fd41c-5624-451d-80a3-58fe58f6f19c	7	2.67
Skycatch :: VZWPublic :: (735) :: 1 GB	7	2.67
BDR Holdings Demo DIA 1GB	7	2.67
3MD VZW Demo	7	2.67
Zagarri VZW Demo 1GB :: a8d93554-c133-4ace-a593-5b6c7d2fb09f	7	2.67
Zagarri Engineering :: VZWPublic :: (741) :: 1 GB	7	2.67
Tetratech ATT 10GB	50	
"La Huerta, Inc. :: VZWPublic :: (737) :: 1 GB"	7	2.67
Automation X VZW 1GB :: b099204b-dc2e-4e8e-8bf1-f8287819203f	7	2.67
KrohTech VZW 1GB Demo :: f8aabfba-3463-4033-8a01-062089e43bf3	7	2.67
KrohTech VZW Public Static 1GB	7	2.67
Omage Demo 1GB DIA	7	2.67
UnaliWear VZW 1GB Demo :: 32ab18ee-11fa-485d-b354-ddaf05f5ed2a	7	2.67
Google VZW 1GB Demo	7	2.67
RMSI VZW 1GB Demo	7	2.67
Emerson (Ridge Tool) VZW 1GB Demo	7	2.67
White Fox Scooters AT&T Demo 1GB DIA	8	
Getaround VZW Demo	7	2.67
Cabin Technologies VZW 1GB DIA	7	2.67
PsiKick VZWDIA 1GB Demo	7	2.67
Ecamsecure VZW Demo :: bcea44c0-d9e0-4ef8-9573-0ea184dd9fba	7	2.67
DMG-LULULEMON-VZW-PUBS-1GB :: a76ed1ae-c8b9-4b83-9063-05069053924f	7	2.67
Vibe Vans Demo - 1GB DIA	7	2.67
Omni Control Technologies AT&T Demo 1GB 	8	
Omni Control Technologies AT&T 1GB DIA	8	
Plenty Unlimited VZW Demo :: Public Static :: 1GB	7	2.67
Terso 1GB Demo :: VZW Public Dynamic ::	7	2.67
POS360 VZW Demo :: ce6dd1e0-3a92-43e0-a458-b6e2081f3018	7	2.67
Timber Country Coca Cola AT&T Demo 1GB	8	
Power Standards Lab Demo :: VZW Public Static :: 1GB	7	2.67
Cleaver ATT Demo 1GB	8	
SmartRent VZW Demo	7	2.67
Cleaver Brooks AT&T DIA PPU	2.99	
Healthio VZW Demo 1GB DIA	7	2.67
Firestone Walker 1GB Demo :: VZW Public Static ::	7	2.67
Firestone Walker :: VZW Public Static :: 1GB	7	2.67
Appriss TMO Public 1GB Demo	7	
e2 Optics :: VZW :: Public Static :: 1GB	7	2.67
Hippo VZW Demo :: Public Dynamic :: 1GB	7	2.67
Samsara VZW Demo DIA 1GB	7	2.67
Ordermark :: VZW Public :: 1GB Demo	7	2.67
Sparklight ATT PN Demo PPU	0	
Blue Line Battery Demo 1GB DIA	7	2.67
Commscope Demo 1GB DIA	7	2.67
Kodiac Robotics Demo :: VZW Public Static :: 1GB	7	2.67
Kodiak VZW 1GB Demo :: 3310d348-7910-4663-9655-21843e345e56	7	2.67
Timber County Coca Cola Demo :: VZW Public Dynamic :: 1GB	7	2.67
Cleaver Brooks VZW DIA Demo 1GB	7	2.67
Medium One VZW PN 1GB Demo	7	2.67
Appriss VZW Public Static 1GB Demo	7	2.67
Sanders :: VZW :: Public Static :: 1GB 	7	2.67
Prime Systems Industrial Automation 1GB Demo :: Public Static ::	7	2.67
CoWorkr VZW 1GB Demo :: Public Dynamic ::	7	2.67
Powerside 1GB Demo :: VZW Public Static :: :: a29771be-c399-49d5-b384-c78694cfad32	7	2.67
Powerside VZW DIA 1GB Demo  :: cc7a0aae-2f2a-4361-a854-266a49d325e3	7	2.67
Powerside :: VZW :: PublicStatic :: 1GB :: 9e1d470a-6c90-409a-bcc1-1f2f8719617f	7	2.67
Altice VZW Demo	7	2.67
Motion Industries VZW 1GB Demo :: Public Static ::	7	2.67
CJTech VZW DIA 1GB Demo	7	2.67
Sunfolding 1GB DIA	7	2.67
Joby VZW DIA 1GB Demo	7	2.67
Airborne VZW Public Dynamic 1GB Demo	7	2.67
Bedestrian VZW PublicStatic 1GB Demo	7	2.67
AverLogic 1GB Demo :: Public Dynamic ::	7	2.67
Embark-VZW-PUBD-1GB	7	2.67
Econolite VZW 1GB :: 3565eeb6-6478-4528-87c6-67c604f41add	7	2.67
Grasshopper VZWDIA 1GB Demo	7	2.67
Stars Behavioral 1GB Demo :: Public Dynamic ::	7	2.67
Mynd VZW 1GB Demo :: Public Dynamic ::	7	2.67
UIS Technology VZW 1GB Demo :: Public Static ::	7	2.67
BOS Sales VZW 1GB PN Demo	7	2.67
Thousand Eyes TMO 50GB Public Dynamic	225	
Thousand Eyes ATT 50GB Public Dynamic	237.5	
Amaral Ranches VZW PublicStatic 1GB Demo	7	2.67
Thousand Eyes TMO 100GB Public Dynamic	450	
Thousand Eyes ATT 100GB Public Dynamic	475	
Front Range SWI Demo	0	
El Charrito VZW DIA 1GB Demo	7	2.67
ePlanet ATT 1GB Demo	8	
Flo Technologies VZW Demo 1GB :: Public Dynamic ::	7	2.67
BTC VZW PublicStatic 1GB Demo	7	2.67
Airborne ATT 1GB Demo	8	
Spire Health VZW 1GB Demo :: Public Dynamic ::	7	2.67
Invento (Einsite) VZW 1GB DIA Demo	7	2.67
Aaction TMO Public 1GB Demo	7	
CCOI Gate and Fence VZW 1GB :: Public Dynamic ::	7	2.67
Tech Partners Hawaii VZW 1GB Demo :: 5599c94a-8703-4173-95ec-c390b498dd7d	7	2.67
Palo_Verde_Meadows :: VZW_Public_Static :: 1GB	7	2.67
Creative Security VZW :: Public Dynamic :: 1GB :: f586649b-2782-47ae-afe2-b95e954b1d46	7	2.67
Hoffman + Krippner VZW Demo :: Public Dynamic :: 1GB	7	2.67
DMG-MERRILL LYNCH-VZW-PUBS-1GB	7	2.67
Intellihot VZW Demo :: Public Static :: 1GB :: 69b7812d-129d-4844-8226-237e89ba4d5e	7	2.67
Arable Labs VZW Demo :: Public Dynamic :: 1GB	7	2.67
Adam Gray VZW :: Public Dynamic :: 1GB :: b2a1635a-735f-4548-a71e-fe4edcd0273f	7	2.67
NextGen :: VZWPublicDynamic :: 1GB :: Demo	7	2.67
Tantalus VZW Demo :: Public Dynamic :: 1GB	7	2.67
GateKeeper Systems TMO 1GB Demo	7	
OKC VZWDIA 1GB	7	2.67
Unaliwear VZW Demo :: Public Dynamic :: 1GB :: e427685a-6ac8-452d-92d5-15ff064a3623	7	2.67
Sensawash VZWPublicDynamic 1GB Demo :: 336a7575-ada1-465e-b156-89830884f63b	7	2.67
All Guard VZW :: Public Dynamic :: 1GB	7	2.67
Fault Line VZW Demo :: Public Dynamic :: 1GB :: 6bb895c3-0677-4595-9dfa-d0a7ee576546	7	2.67
United Art ATT 50GB	237.5	
Chowbotics :: VZWPublicDynamic :: 1GB	7	2.67
Bandit :: VZWPublicStatic :: 1GB	7	2.67
PacifiCorp VZW PublicStatic 1GB Demo	7	2.67
Zone Tap VZW Demo :: Public Dynamic :: 1GB	7	2.67
Analog Devices VZW Demo :: 0fc82396-5a46-44d5-b946-01349c239ba5	7	2.67
Rhombus Energy VZW Demo :: Public Dynamic :: 1GB :: b17b02c1-e674-4d88-a8c5-a0180503a591	7	2.67
Remote Technology VZW :: Public Static :: 1GB	7	2.67
Ozone International-VZW-PUBD-1GB	7	2.67
Fort Worth Bike VZW DIA 1GB	7	2.67
Filld VZW Demo :: Public Dynamic :: 1GB :: c204c861-52fa-47db-ab33-8cfd183909a8	7	2.67
Creative Security VZW Demo :: Public Static :: 1GB	7	2.67
Zonetap VZW PublicStatic 1GB Demo	7	2.67
Flo VDF Demo	125	
Lord Danger VZW PublicStatic 1GB Demo :: 862e86e5-020d-4769-ab82-95d678f69a76	7	2.67
BTC TMO PublicStatic 1GB Demo	7	
BTC ATT Public 1GB Demo	8	
Full Spectrum VZW DIA 1GB Demo	7	2.67
Spire Health ATT Jasper 1GB Demo	30	
Dallas Zoo VZW DIA 1GB	7	2.67
One Medical VZW Demo :: Public Static :: 1GB :: dcedef88-56f8-4f39-856c-65e329ff9912	7	2.67
Swiftly VZW Demo :: Public Dynamic :: 1GB :: 13e63a81-75d3-4967-a16d-7a48c6befd45	7	2.67
Macrotech-NSA-VZW-PUBD-1GB	7	2.67
Infortech-Demo-VZW-Public-1GB	7	2.67
Central Cooling-VZW-PUBS-1GB	7	2.67
Invento (Einsite) TMO 1GB Demo	7	
DMG-COCA-COLA-VZW-PUBS-1GB :: 76164ad5-2f2e-4c5b-8f3e-3e13d5b16b5f	7	2.67
The Mobility House-VZW-PUBD-1GB	7	2.67
RFI Enterprises-VZW-PUBS-1GB-DEMO :: 1108ae58-ffd3-4ec7-81dd-9d44ae481775	7	2.67
VEC-DEMO-VZW-PUBS-1GB	7	2.67
OBVIUS-VZW-PUBD-1GB	7	2.67
Picket Wireless-VZW-PUBS-1GB	7	2.67
"Ameresco, Inc-VZW-PUBD-1GB :: 6b2e4234-6dfc-44d4-ac15-2233f388a3a8"	7	2.67
Boeing-DEMO-VZW-PUBD-1GB	7	2.67
Eperture LLC-VZW-PUBD-1GB	7	2.67
RMS Life Safety-VZW-PUBS-1GB	7	2.67
Benson Drug Company-VZW-PUBD-1GB	7	2.67
Swiftly Inc-VZW-PUBD-1GB	7	2.67
Western Pacific Signal-DEMO-VZW-PUBS-1GB	7	2.67
Sierra Controls-VZW-PUBS-1GB	7	2.67
Corfini Gourmet-VZW-PUBS-1GB	7	2.67
Texian Geospatial-VZW-PUBS-1GB	7	2.67
NovaCharge-DEMO-VW-PUBS-1GB	7	2.67
Venturi Aerospace AT&T 1GB Demo	8	
One Diversified-VZW-PUBS-1GB :: dd93589d-78d3-41d4-94d0-49ae6630ec75	7	2.67
Fault Line Plumbing-VZW-PUBD-1GB	7	2.67
Conait LLC-VZW-DEMO-PUBS-1GB	7	2.67
Supira Medical-VZW-DEMO-PUBD-1GB	7	2.67
Waterpoint ATT PPU	2.99	
Indianapolis Cultural Trail-VZW-PUBS-1GB	7	2.67
Companion Labs-VZW-PUBS-1GB	7	2.67
 Fault Line Plumbing-VZW-PUBS-1GB	7	2.67
Adam Gray ATT DIA 1GB :: 774a8071-a342-43f5-b075-f59c105d950c	8	
Generate Capital-VZW-PUBD-1GB	7	2.67
Heartland Bike Share-VZW-DIA-1GB	7	2.67
Americom Central Station-VZW-PUBD-1GB	7	2.67
SkyPro Imaging-VZW-PUBS-1GB	7	2.67
Generate Capital-VZW-PUBS-1GB	7	2.67
C2squared-DEMO-VZW-DIA-1GB	7	2.67
Tantalus Sierra Demo 1GB	0	
Swiftmile-VZW-PUBS-1GB	7	2.67
Devicebook-DEMO-VZW-PUBD-1GB	7	2.67
Next Level Networks-VZW-PUBS-1GB	7	2.67
Lomas Santa Fe-CC-VZW-PUBS-1GB	7	2.67
TKABE Technologies-VZW-PUBD-1GB	7	2.67
RFI Enterprises Inc-VZW-PUBS-1GB	7	2.67
PWS VZW DIA DEMO	4.25	0.25
BCYCLE VZW DIA 750MB	5.38	2.022460938
BCycle-VZW-PUBD-750MB	5.38	2.022460938
SA Bike Share VZW 750MB	5.38	2.022460938
Fort Worth Bike VZW 750MB :: 2b25d6fc-ce00-40f5-b72b-40d33f62ea43	5.38	2.022460938
KC Bike VZW 750MB	5.38	2.022460938
Spartanburg(Active Living)-VZW-PUBS-750MB	5.38	2.022460938
CINCY BIKE :: VZWPublic :: (608) :: 750 MB	5.38	2.022460938
Council Rock ATT DIA 250MB	5.5	
Cincy Bike Share DIA 750MB	5.38	2.022460938
Nashville B-Cycle VZW 750MB	5.38	2.022460938
Bike Miami Valley :: VZWPublic :: (626) :: 750 MB	5.38	2.022460938
AJ TMO TEST :: f712b1e6-ce15-4fb9-bd80-7fdb8a168937	0.5	
MIDWEST BIKE dba Bublr Bike :: VZWPublic :: (665) :: 750 MB	5.38	2.022460938
PikeRide VZW 750MB :: 55554462-9498-429f-9ffb-49b482a68798	5.38	2.022460938
Columbus Bike Co-op Inc :: VZWPublic :: (731) :: 750 MB	5.38	2.022460938
Indianapolis Cultural Trail-VZW-PUBS-750MB	5.38	2.022460938
Indianapolis Cultural Trail-VZW-DIA-750MB	5.38	2.022460938
Analog Devices ATT Demo :: 8f970c6c-1a47-4de4-bffa-1e4256c2d161	8	
Heartland Bike Share VZW DIA 750MB	5.38	2.022460938
Green Bike-VZW-PUBS-750MB	5.38	2.022460938
Embark ATT Demo 1GB :: f7710e25-d099-4656-a05a-7638f1a237b3	8	
SA Bike Share-VZW-PUBD-750MB :: df051ea8-96b1-49aa-8947-af270093ffd3	5.38	2.022460938
SA Bike Share-VZW-PUBS-750MB	5.38	2.022460938
Volta-NSA-VZW-PUBS-2GB	8.25	5.09
WaterTechonics-NZW-PUBD-2GB	8.25	5.09
TripShot-VZW-PUBS-2GB	8.25	5.09
PINC-VZW-PUBD-2GB	8.25	5.09
Council Rock TMO DIA 250MB	3	
PINC-VZW-PUBS-2GB	8.25	5.09
Cleaver Brooks Telus 1GB Demo	13.5	
"Swyft, Inc-VZW-PUBD-2GB"	8.25	5.09
Friedmans-VZW-PUBD-2GB	8.25	5.09
Envirosmarts-VZW-PUBS-2GB	8.25	5.09
Ondas Networks-VZW-PUBD-2GB	8.25	5.09
NexRev VZW 500MB	3.75	1.431640625
Automotion_500MB_VZW :: 6f3ec63b-2ac5-47b0-b1b7-5b517e61d258	3.75	1.431640625
CAUZWAYLLC :: VZWPublic :: (133) :: 500 MB	3.75	1.431640625
CYCLE GEAR :: VZWPublic :: (370) :: 500 MB	3.75	1.431640625
Daintree-VZW-PUBS-500MB	3.75	1.431640625
GO2RIS :: VZWPublic :: (403) :: 500 MB	3.75	1.431640625
NORMAN INTERNATIONAL :: VZWPublic :: (238) :: 500 MB	3.75	1.431640625
SOLED :: VZWPublic :: (455) :: 500 MB	3.75	1.431640625
STONE EAGLE :: VZWPublic :: (546) :: 500 MB	3.75	1.431640625
Lord Danger TMO Public 1 GB Demo :: 265982d8-26b8-4970-b5f0-64505196eb2c	7	
RESERVE CLUB :: VZWPublic :: (558) :: 500 MB	3.75	1.431640625
Visual Podium VZW 500MB	3.75	1.431640625
Alaris VZW DIA 500MB	3.75	1.431640625
PickTrace VZW 500MB	3.75	1.431640625
Greenlots Telus Demo 1GB :: 4a387d8a-a1b0-46f7-a8fb-c8b943aefa56	13.5	
Zenspace VZW 500MB :: 0cfe612e-7f99-45fe-965c-f16709adf6e4	3.75	1.431640625
SafeHub Sierra Demo 1GB	0	
Hornblower-VZW-DIA-500MB	3.75	1.431640625
Riivet ATT Dynamic 1GB Demo :: 938910a0-cc61-4764-ad15-27fe567a74d8	8	
Miller Ingenuity VZW PN 500MB	3.75	1.431640625
Miller Ingenuity VZW DIA 500MB	3.75	1.431640625
Navigator Networks VZW :: Public Static :: 500MB	3.75	1.431640625
ThinkSign VZW :: Public Static :: 500MB	3.75	1.431640625
Friedmans VZW Public Static 500MB	3.75	1.431640625
Capital Technology-VZW-PUBD-500MB	3.75	1.431640625
WanderJaunt VZW :: Public Dynamic :: 500MB	3.75	1.431640625
AssetBlack VZWPublicStatic 500MB	3.75	1.431640625
Macrotech-VZW-PUBS-500MB	3.75	1.431640625
Fresh Foods-VZW-PUBS-500MB	3.75	1.431640625
Riivet TMO Public 1GB Demo :: 96aee6b9-f3b5-4540-b7a1-a71b3e10e05d	7	
ampUp VZW 400MB :: Public Static	3.1	1.1953125
Compology-DEMO-VZW-PUBD-1GB :: fadf2a93-b37a-411e-820d-2886626447df	4.25	2.67
Shift Operations-DEMO-VZW-PUBS-1GB	4.25	2.67
Prodigy-DEMO-VZW-PUBS-1GB	4.25	2.67
DMG-MITSUBISHI-VZW-PUBS-1GB :: dd532570-a2a8-4b2c-beb1-b5209724d594	4.25	2.67
CCOI Gate and Fence ATT 1GB DIA Demo 	8	
V5 Systems-DEMO-VZW-1GB	4.25	2.67
Foxwood ATT DIA 5GB	30	
DMG-Silvercast-VZW-PUBS-1GB :: 3db45dc2-faae-449e-b08f-1928e2eeef29	4.25	2.67
Creative Security Company-VZW-PUBD-1GB	4.25	2.67
"Ameresco, Inc-VZW-PUBD-1GB-NR"	4.25	2.67
One Diversified- VZW-PUBS-1GB :: 330616a2-bbf9-41c3-9a29-b3d19ed68c8a	4.25	2.67
 DMG-LEXUS-VZW-PUBS-1GB :: ecb9759f-8092-46c2-b67a-2add95a21adc	4.25	2.67
ampUp-SNA-TMO-PUBS-500MB	5.5	
 DMG-CREO-VZW-PUBS-1GB :: 216b7a7a-f1f6-4c2e-a08f-cbb6b7c99a8f	4.25	2.67
 DMG Demo-VZW-PUBS-1GB	4.25	2.67
 DMG-WESTROCK-VZW-PUBS-1GB :: ae538cdf-4d00-4da3-b111-f01b1879fed0	4.25	2.67
 DMG-CVS-VZW-PUBS-1GB :: 6249bd2c-ceaf-427a-bf63-f6b080b0d573	4.25	2.67
 DMG M&E-VZW-PUBS-1GB :: d40602ec-6bbb-45f5-935e-94dbacf41026	4.25	2.67
Strivr-DEMO-VZW-PUBD-1GB	4.25	2.67
Rail Management Services-NSA-VZW-PUBD-1GB	4.25	2.67
DETROIT CITY FOOTBALL CLUB-VZW-PUBS-1GB	4.25	2.67
ICPK Corporation-VZW-PUBS-1GB	4.25	2.67
"Sunworks United, Inc-VZW-PUBS-1GB"	4.25	2.67
GREEN POWER-VZW-PUBS-1GB	4.25	2.67
Family Entertainment Group-VZW-PUBD-1GB 	4.25	2.67
NeuroPace Inc-VZW-PUBD-1GB	4.25	2.67
511 Technologies-VF-WC1-DIA-1MB	0.41	
511 Technologies-ATT-DIA-5MB	3.05	
"International Electron (Redaptive), LLC-VZW-PUBD-1GB"	4.25	2.67
MIDWEST BIKE dba Bublr Bike-VZW-PUBD-1GB	4.25	2.67
BNRC LLC-VZW-PUBD-1GB	4.25	2.67
Advanced Orthopedic Physical-VZW-PUBD-1GB	4.25	2.67
Town of Stowe Electric-VZW-PUBD-1GB	4.25	2.67
Good Days Work-DEMO-VZW-PUBD-1GB	4.25	2.67
A&E Security-TMO-PUBS-5GB	35	
Victoria Club-NSA-VZW-PUBS-1GB	4.25	2.67
Thinksign-VZW-PUBS-1GB	4.25	2.67
Miller Ingenuity-TELUS-DIA-100MB	7.5	
Portl-VZW-PUBD-1GB	4.25	2.67
CSI3000-VZW-PUBS-1GB	4.25	2.67
Pokemon-DEMO-VZW-DIA-1GB	4.25	2.67
Lasco-ATT-PUBD-50GB	237.5	
HAGE Automotive-VZW-PUBS-1GB	4.25	2.67
"Bulloch County Rural Telephone Cooperative, Inc.-VZW-PUBD-1GB"	4.25	2.67
Clarified Inc. DBA Tumble-VZW-PUBD-1GB	4.25	2.67
PEDCOR Companies-VZW-PUBS-1GB	4.25	2.67
Canyon Lake Property Owners Association-VZW-PUBS-1GB	4.25	2.67
"Precision Alarms & Automation Solutions, Inc-VZW-PUBD-1GB"	4.25	2.67
Autosense-DEMO-VZW-PUBD-1GB	4.25	2.67
Island Commuter Corp-VZW-DIA-1GB	4.25	2.67
Jackrabbit-VZW-PUBS-1GB	4.25	2.67
Husk Companies Inc-DEMO-VZW-PUBD-1GB :: 30a3fec9-332d-4d42-b7c0-956ab2bec75b	4.25	2.67
 Monolets-DEMO-VZW-PUBS-1GB	4.25	2.67
HQCA-DEMO-VZW-PUBS-1GB	4.25	2.67
Seafia Inc-VZW-PUBD-1GB	4.25	2.67
Ultragenyx Pharmaceuticals Inc-VZW-PUBD-1GB	4.25	2.67
Infortech Corporation-VZW-PUBS-1GB	4.25	2.67
Riivet-ATT-DIA-20GB-RR	95	
511 Technologies-TELUS-DIA-1MB	1	
511 Technologies-TELUS-DIA-10MB	7.5	
Martensen Tax-ATT-DIA-10GB	50	
ZEF Energy-DEMO-VZW-PN-1GB	4.25	2.67
Formant.io TMO Public Static 50 GB	225	
DC Engineering Inc.-VZW-PUBD-1GB	4.25	2.67
Tech Partners Hawaii-VZW-PUBD-1GB	4.25	2.67
 ZEF Energy-DEMO-VZW-PUBD-1GB	4.25	2.67
Oasis Charger Corporation-Demo-VDF-Public-1GB	0	
"DMG North, Inc-VZW-PUBD-1GB"	4.25	2.67
SensoScientific-VZW-DIA-1GB	4.25	2.67
"Alternative Energy Systems, Inc - AES-VZW-PUBD-1GB"	4.25	2.67
"Howell Electric, Inc-VZW-PUBD-1GB"	4.25	2.67
"Warner Bros, Inc-VZW-PUBS-1GB"	4.25	2.67
Consumer 2.0-DEMO-VZW-PUBD-1GB	4.25	2.67
Nevada Security Company-VZW-PUBS-1GB	4.25	2.67
LUMNIOSTICS INC-DEMO-VZW-PUBD-1GB	4.25	2.67
"Money Time ATMs, Inc.-VZW-PUBS-1GB"	4.25	2.67
Amazon Falls REF Acquisition LLC-VZW-PUBD-1GB	4.25	2.67
"United Oil, Inc.-VZW-PUBS-1GB"	4.25	2.67
No Static Pro Audio Inc.-VZW-PUBD-1GB	4.25	2.67
Hella ATMs NV LLC-VZW-PUBD-1GB	4.25	2.67
"ePlant, Inc.-VZW-PUBS-1GB"	4.25	2.67
"Chowbotics, Inc.-VZW-PUBS-1GB"	4.25	2.67
Waterpoint-TMO-PUBD-PPU	0.5	
Kairos Aerospace-VZW-PUBD-1GB	4.25	2.67
Sierra Controls LLC-VZW-PN-1GB	4.25	2.67
State Electric Company-VZW-PUBD-1GB	4.25	2.67
COI Energy-VZW-PUBS-1GB	4.25	2.67
"Logic Beach, Inc.-VZW-PUBS-1GB"	4.25	2.67
Veloxity-VZW-PUBD-1GB	4.25	2.67
Greenlots-VZW-PUBD-300MB :: fcaf778c-f25c-4765-b128-0e6b6f4671f1	2.45	0.958984375
Spendgo VZW 300MB :: 20118845-61b5-4e6d-8db5-809bf78bb91e	2.45	0.958984375
Connectria-TELUS-PN-5GB	40	
Connectria-TELUS-PN-1GB	13.5	
Connectria-VF-PN-5GB	374.64	
Connectria-VF-PN-1GB	79.73	
Connectria-VF-PN-250MB	22.2	
IN-N-OUT :: VZWPublic :: (95) :: 300 MB	2.45	0.958984375
VAS :: VZWPublic :: (172) :: 300 MB	2.45	0.958984375
AAA Fire Protection-ATT-DIA-250MB	5.5	
Gabelsberg :: VZWPublic :: (30) :: 250 MB	2.13	0.840820313
Tetratech :: VZWPublic :: (87) :: 250 MB	2.13	0.840820313
AR SYS VZW 250MB	2.13	0.840820313
Datawrx-VZW-PUBS-250MB	2.13	0.840820313
Ozone International-TELUS-DIA-250MB	8.5	
Ozone International-AT&T-DIA-250MB	5.5	
SuperMicro-DEMO-AT&T-DIA-1GB	8	
Petasense VZW 250MB	2.13	0.840820313
Farm from a Box Inc-ATT-DIA-2GB	23	
Council Rock VZW DIA 250MB	2.13	0.840820313
SensoScientific-TMO-DIA-25MB	0.75	
Analog Devices VF Demo :: 6f71c691-74fe-4b6f-95d9-60440aa9de75	125	
Council Rock :: VZWPublic :: (411) :: 250 MB :: bc55ca9c-3f5a-420e-a87a-91a72990cc5c	2.13	0.840820313
SupplyPro VZW 250MB	2.13	0.840820313
Ghost Zero-VF-DIA-5GB-ROW1	42.87	
Ghost Zero-ATT-DIA-10GB	50	
Ghost Zero-TMO-PUBS-10GB	50	
Ventek VZW 250MB :: 622acad7-093d-44e1-9017-365958064b6b	2.13	0.840820313
TCS-TELUS-PN-100MB	7.5	
TCS-VF-PN-100MB-WC1-2NETS	9.6	
TCS-VF-PN-100MB-WC1-ALL	16.8	
Embark-ATT-DIA-20GB	95	
Riivet-TMO-PUBS-20GB-RR	90	
Harbor Wholesale Grocery :: VZWPublic :: (425) :: 250 MB	2.13	0.840820313
BCYCLE VZW 250MB :: bd382896-78cd-4a48-80c9-7930700358ed	2.13	0.840820313
MeasureTek :: VZWPublic :: (442) :: 250 MB	2.13	0.840820313
Grover VZW 250MB :: 2972f8cd-4e42-4f3f-801c-a3b3ca432289	2.13	0.840820313
Medi-Lynx VZW 250MB	2.13	0.840820313
Parcel Pending VZW 250MB :: d9c73016-8048-4596-b097-23541144d8cd	2.13	0.840820313
One Medical-DEMO-ATT-DIA-1GB	8	
One Medical-DEMO-TMO-PUBS-1GB	7	
Farmers Electric VZW 250mb	2.13	0.840820313
Automotion_256MB_VZW :: 2c2a79f6-ffa8-4210-a6cc-fd8167c75494	2.13	0.840820313
AMERIPRISE-VZW-PUBD-250MB	2.13	0.840820313
BPI :: VZWPublic :: (365) :: 250 MB	2.13	0.840820313
Corporate IT Solutions :: VZWPublic :: (288) :: 250 MB	2.13	0.840820313
DELTA LIQUID :: VZWPublic :: (420) :: 250 MB	2.13	0.840820313
ENCYCLE :: VZWPublic :: (378) :: 250 MB	2.13	0.840820313
GREEN POWER :: VZWPublic :: (409) :: 250 MB	2.13	0.840820313
GROCERYOUTLET :: VZWPublic :: (337) :: 250 MB	2.13	0.840820313
HOME BANK OF CA :: VZWPublic :: (208) :: 250 MB	2.13	0.840820313
HTMSENSORS :: VZWPublic :: (6) :: 250 MB	2.13	0.840820313
IN-N-Out::VZWPublic::250MB	2.13	0.840820313
LAKESIDE :: VZWPublic :: (374) :: 250 MB	2.13	0.840820313
LINEAGELOGISTICS :: VZWPublic :: (56) :: 250 MB	2.13	0.840820313
CAPE BLANCO :: VZWPublic :: (542) :: 250 MB	2.13	0.840820313
FINLEY CHERRIES :: VZWPublic :: (522) :: 250 MB	2.13	0.840820313
GOSCHIE FARMS :: VZWPublic :: (523) :: 250 MB	2.13	0.840820313
Matrix Networks-ATT-DIA-500MB	8	
Matrix Networks-ATT-DIA-5GB	30	
Matrix Networks-ATT-DIA-10GB	50	
LOWER NEHALEM :: VZWPublic :: (524) :: 250 MB	2.13	0.840820313
PEDCOR :: VZWPublic :: (241) :: 250 MB	2.13	0.840820313
PLOTWATT :: VZWPublic :: (29) :: 250 MB	2.13	0.840820313
RMS Life Safety-VZW-PUBS-250MB :: 8cd8c83c-1f02-4def-ac2d-083afe96e118	2.13	0.840820313
Nexrev-TELUS-PN-500MB	11.5	
SEALBEACH7 :: VZWPublic :: (124) :: 250 MB	2.13	0.840820313
SECOCANYONHOA :: VZWPublic :: (61) :: 250 MB	2.13	0.840820313
BT LOFTUS :: VZWPublic :: (551) :: 250 MB	2.13	0.840820313
